11-01-2023 14:02:04 | ::1 | inside getData 
11-01-2023 14:02:04 | ::1 | crud => [NULL] 
11-01-2023 14:02:04 | ::1 | inside getData 
11-01-2023 14:02:04 | ::1 | crud => [NULL] 
11-01-2023 14:02:04 | ::1 | inside getData 
11-01-2023 14:02:04 | ::1 | crud => [NULL] 
11-01-2023 14:02:10 | ::1 | inside getData 
11-01-2023 14:02:10 | ::1 | crud => [NULL] 
11-01-2023 14:02:10 | ::1 | inside getData 
11-01-2023 14:02:10 | ::1 | crud => [NULL] 
11-01-2023 14:02:10 | ::1 | inside getData 
11-01-2023 14:02:10 | ::1 | crud => [NULL] 
11-01-2023 14:05:37 | ::1 | inside getData 
11-01-2023 14:05:37 | ::1 | crud => [Crud::__set_state(array(
   'conn' => 
  PDO::__set_state(array(
  )),
))] 
11-01-2023 14:05:37 | ::1 | inside getData 
11-01-2023 14:05:37 | ::1 | crud => [Crud::__set_state(array(
   'conn' => 
  PDO::__set_state(array(
  )),
))] 
11-01-2023 14:05:37 | ::1 | inside getData 
11-01-2023 14:05:37 | ::1 | crud => [Crud::__set_state(array(
   'conn' => 
  PDO::__set_state(array(
  )),
))] 
11-01-2023 14:06:16 | ::1 | inside getData 
11-01-2023 14:06:16 | ::1 | crud => [Crud::__set_state(array(
   'conn' => 
  PDO::__set_state(array(
  )),
))] 
11-01-2023 14:06:16 | ::1 | inside getData 
11-01-2023 14:06:16 | ::1 | crud => [Crud::__set_state(array(
   'conn' => 
  PDO::__set_state(array(
  )),
))] 
11-01-2023 14:06:16 | ::1 | inside getData 
11-01-2023 14:06:16 | ::1 | crud => [Crud::__set_state(array(
   'conn' => 
  PDO::__set_state(array(
  )),
))] 
11-01-2023 14:07:19 | ::1 | inside getData 
11-01-2023 14:07:19 | ::1 | crud => [Crud::__set_state(array(
   'conn' => 
  PDO::__set_state(array(
  )),
))] 
11-01-2023 14:07:19 | ::1 | inside getData 
11-01-2023 14:07:19 | ::1 | crud => [Crud::__set_state(array(
   'conn' => 
  PDO::__set_state(array(
  )),
))] 
11-01-2023 14:07:19 | ::1 | inside getData 
11-01-2023 14:07:19 | ::1 | crud => [Crud::__set_state(array(
   'conn' => 
  PDO::__set_state(array(
  )),
))] 
11-01-2023 14:27:44 | ::1 | inside getData 
11-01-2023 14:27:44 | ::1 | crud => [Crud::__set_state(array(
   'conn' => 
  PDO::__set_state(array(
  )),
))] 
11-01-2023 14:27:44 | ::1 | inside getData 
11-01-2023 14:27:44 | ::1 | crud => [Crud::__set_state(array(
   'conn' => 
  PDO::__set_state(array(
  )),
))] 
11-01-2023 14:27:44 | ::1 | inside getData 
11-01-2023 14:27:44 | ::1 | crud => [Crud::__set_state(array(
   'conn' => 
  PDO::__set_state(array(
  )),
))] 
11-01-2023 14:31:46 | ::1 | inside getData 
11-01-2023 14:31:46 | ::1 | inside getData 
11-01-2023 14:31:46 | ::1 | inside getData 
11-01-2023 14:32:13 | ::1 | inside getData 
11-01-2023 14:32:13 | ::1 | inside getData 
11-01-2023 14:32:13 | ::1 | inside getData 
11-01-2023 14:33:43 | ::1 | crud => [Crud::__set_state(array(
   'conn' => 
  PDO::__set_state(array(
  )),
))] 
11-01-2023 14:34:12 | ::1 | inside getData 
11-01-2023 14:34:12 | ::1 | inside getData 
11-01-2023 14:34:12 | ::1 | inside getData 
11-01-2023 14:35:18 | ::1 | inside getData 
11-01-2023 14:35:18 | ::1 | inside getData 
11-01-2023 14:35:18 | ::1 | inside getData 
11-01-2023 14:35:32 | ::1 | inside getData 
11-01-2023 14:35:32 | ::1 | inside getData 
11-01-2023 14:35:32 | ::1 | inside getData 
11-01-2023 14:35:59 | ::1 | inside getData 
11-01-2023 14:35:59 | ::1 | 2 
11-01-2023 14:35:59 | ::1 | inside getData 
11-01-2023 14:35:59 | ::1 | 2 
11-01-2023 14:35:59 | ::1 | inside getData 
11-01-2023 14:35:59 | ::1 | 2 
11-01-2023 14:37:26 | ::1 | inside crud count 
11-01-2023 14:37:29 | ::1 | inside getData 
11-01-2023 14:37:29 | ::1 | 2 
11-01-2023 14:37:29 | ::1 | inside getData 
11-01-2023 14:37:29 | ::1 | 2 
11-01-2023 14:37:29 | ::1 | inside getData 
11-01-2023 14:37:29 | ::1 | 2 
11-01-2023 14:37:53 | ::1 | inside crud count 
11-01-2023 14:37:55 | ::1 | inside getData 
11-01-2023 14:37:55 | ::1 | 2 
11-01-2023 14:37:55 | ::1 | inside getData 
11-01-2023 14:37:55 | ::1 | 2 
11-01-2023 14:37:55 | ::1 | inside getData 
11-01-2023 14:37:55 | ::1 | 2 
11-01-2023 14:38:18 | ::1 | inside crud count 
11-01-2023 14:38:20 | ::1 | inside getData 
11-01-2023 14:38:20 | ::1 | 2 
11-01-2023 14:38:20 | ::1 | inside getData 
11-01-2023 14:38:20 | ::1 | 2 
11-01-2023 14:38:20 | ::1 | inside getData 
11-01-2023 14:38:20 | ::1 | 2 
11-01-2023 14:38:59 | ::1 | inside crud count 
11-01-2023 14:39:03 | ::1 | inside getData 
11-01-2023 14:39:03 | ::1 | 2 
11-01-2023 14:39:03 | ::1 | inside getData 
11-01-2023 14:39:03 | ::1 | 2 
11-01-2023 14:39:03 | ::1 | inside getData 
11-01-2023 14:39:03 | ::1 | 2 
11-01-2023 14:39:28 | ::1 | inside crud count 
11-01-2023 14:39:31 | ::1 | inside getData 
11-01-2023 14:39:31 | ::1 | 2 
